iter	Passed	Remaining
402	12004	17782
403	12032	17751
404	12074	17739
405	12116	17727
406	12144	17694
407	12183	17678
408	12226	17666
409	12257	17638
410	12291	17614
411	12324	17588
412	12354	17559
413	12395	17545
414	12438	17533
415	12465	17499
416	12492	17465
417	12531	17448
418	12573	17435
419	12600	17401
420	12627	17366
421	12653	17330
422	12681	17298
423	12708	17264
424	12744	17242
425	12773	17210
426	12799	17176
427	12825	17141
428	12852	17106
429	12878	17071
430	12904	17036
431	12930	17001
432	12957	16967
433	12984	16934
434	13015	16904
435	13040	16868
436	13066	16834
437	13094	16801
438	13119	16765
439	13152	16739
440	13178	16704
441	13206	16672
442	13237	16643
443	13264	16610
444	13292	16577
445	13337	16566
446	13380	16553
447	13407	16520
448	13438	16490
449	13462	16454
450	13491	16422
451	13517	16389
452	13544	16355
453	13570	16321
454	13599	16289
455	13628	16258
456	13653	16223
457	13680	16189
458	13706	16155
459	13734	16123
460	13758	16086
461	13786	16054
462	13813	16020
463	13838	15985
464	13865	15952
465	13891	15918
466	13932	15902
467	13959	15868
468	13986	15835
469	14011	15800
470	14040	15769
471	14065	15734
472	14094	15703
473	14119	15668
474	14147	15637
475	14174	15603
476	14201	15570
477	14226	15536
478	14253	15503
479	14296	15488
480	14323	15454
481	14350	15422
482	14377	15389
483	14404	15356
484	14433	15326
485	14459	15293
486	14487	15261
487	14513	15227
488	14540	15194
489	14566	15161
490	14610	15146
491	14638	15114
492	14666	15083
493	14692	15049
494	14719	15017
495	14747	14985
496	14772	14951
497	14799	14918
498	14825	14885
499	14852	14852
500	14878	14818
501	14906	14787
502	14931	14753
503	14956	14719
504	14984	14687
505	15025	14669
506	15062	14646
507	15087	14612
508	15113	14579
509	15153	14559
510	15182	14528
511	15210	14497
512	15238	14466
513	15264	14433
514	15292	14401
515	15319	14369
516	15348	14338
517	15373	14305
518	15416	14287
519	15441	14253
520	15479	14231
521	15504	14197
522	15532	14166
523	15558	14132
524	15584	14100
525	15614	14070
526	15641	14038
